Entity,ExternalId,Name,Action,Message
Empresa,EMP_CSOC,CARIBBEAN SECURITY,Inserted,
Empresa,EMP_CTR,CARGA TRANSISTMICA,Inserted,
Empresa,EMP_DH,DAVIS HEALTH,Inserted,
Empresa,EMP_FZA,FARMAZONA,Inserted,
Empresa,EMP_SD,SERVICIOS DAVIS,Inserted,
Departamento,CSOC_SEG,DEPTO. SEGURIDAD,Inserted,
Departamento,CTR_BOD,DEPTO. ALMACEN TOCUMEN,Inserted,
Departamento,CTR_CAL,DIRECCION DE CALIDAD,Inserted,
Departamento,CTR_CC,DEPTO. CUENTAS CLAVES TOCUMEN,Inserted,
Departamento,CTR_COM,DIRECCION DE COMERCIAL,Inserted,
Departamento,CTR_FIN,DIRECCION DE FINANZAS,Inserted,
Departamento,CTR_IT,DIRECCION DE TECNOLOGIA,Inserted,
Departamento,CTR_LM,DEPTO. LOGISTICA MARITIMA ONX,Inserted,
Departamento,CTR_OPE,GERENCIA DE OPERACIONES,Inserted,
Departamento,CTR_PRES,DIRECCION EJECUTIVA,Inserted,
Departamento,CTR_SEG,DEPTO. SEGURIDAD,Inserted,
Departamento,CTR_TRAN,DEPTO. TRANSPORTE,Inserted,
Departamento,DH_A200,DEPTO-ACONDICIONAMIENTO A200,Inserted,
Departamento,DH_B200,DEPTO-ACONDICIONAMIENTO B200,Inserted,
Departamento,DH_B300,DEPTO-ACONDICIONAMIENTO B300,Inserted,
Departamento,DH_C100,DEPTO-ACONDICIONAMIENTO C100,Inserted,
Departamento,DH_C200,DEPTO-ACONDICIONAMIENTO C200,Inserted,
Departamento,DH_CAL,DIRECCION DE CALIDAD,Inserted,
Departamento,FZA_AE,DEPTO. AREAS ESPECIALES,Inserted,
Departamento,FZA_AMC2,DEPTO. ALMACEN 2,Inserted,
Departamento,FZA_AMC3,DEPTO. ALMACEN 3,Inserted,
Departamento,FZA_AMCTO,DEPTO. ALMACENAMIENTO,Inserted,
Departamento,FZA_CAL,DIRECCION DE CALIDAD,Inserted,
Departamento,FZA_COM,DIRECCION DE COMERCIAL,Inserted,
Departamento,FZA_CPR,DEPTO. COMPRAS,Inserted,
Departamento,FZA_E&I,DEPTO. EXPORT & IMPORT,Inserted,
Departamento,FZA_EMP,DEPTO. EMPAQUE,Inserted,
Departamento,FZA_FIN,DIRECCION DE FINANZAS,Inserted,
Departamento,FZA_GC,DEPTO. GESTION CON CLIENTES,Inserted,
Departamento,FZA_IMPT,DEPTO. IMPLANTS,Inserted,
Departamento,FZA_INV,DEPTO. INVENTARIO,Inserted,
Departamento,FZA_IT,DIRECCION DE TECNOLOGIA,Inserted,
Departamento,FZA_MATTO,DEPTO. MANTENIMIENTO Y ASEO,Inserted,
Departamento,FZA_OPE,DIRECCION DE OPERACIONES,Inserted,
Departamento,FZA_PRES,DIRECCION EJECUTIVA,Inserted,
Departamento,FZA_REP,DEPTO. RECEPCION,Inserted,
Departamento,FZA_RH,DIRECCION DE RECURSOS HUMANOS,Inserted,
Departamento,FZA_SAL,DEPTO. SALIDAS,Inserted,
Departamento,FZA_SEG,DEPTO. SEGURIDAD,Inserted,
Departamento,FZA_SGC,DEPTO. SEGREGACION,Inserted,
Departamento,SD_F,DIRECCION DE FINANZAS,Inserted,
Departamento,SD_MATTO,DEPTO. MANTENIMIENTO Y ASEO,Inserted,
Departamento,SD_TALLER,DEPTO. TALLER,Inserted,
Cargo,CSOC_SEG_001,AGENTE DE SEGURIDAD,Inserted,
Cargo,CSOC_SEG_002,AUDITOR DE SEGURIDAD,Inserted,
Cargo,CSOC_SEG_003,COORDINADORA ADMINISTRATIVA Y MONITOREO,Inserted,
Cargo,CSOC_SEG_004,GERENTE GENERAL,Inserted,
Cargo,CSOC_SEG_005,SUPERVISOR DE SEGURIDAD,Inserted,
