NoEmpleado,IdLider,Action,Message
91204,91144,Pending,Lider no existe en SQL o fue bloqueado
91378,21474,Assigned,
91393,21474,Assigned,
91703,21474,Assigned,
91704,21474,Assigned,
91400,21474,Assigned,
91409,21474,Assigned,
91671,21474,Assigned,
91670,21474,Assigned,
91683,21474,Assigned,
91684,21474,Assigned,
91386,11009,Assigned,
91682,26692,Assigned,
91405,44110,Assigned,
91410,44110,Assigned,
91680,44110,Assigned,
39090,76827,Assigned,
10769,63249,Assigned,
39296,59483,Assigned,
10807,63249,Assigned,
57555,76827,Assigned,
62381,76827,Assigned,
76901,56303,Assigned,
78712,62381,Assigned,
39200,63249,Assigned,
65039,63249,Assigned,
66397,63249,Assigned,
90983,65039,Assigned,
91025,62907,Assigned,
91157,63249,Assigned,
91225,39090,Assigned,
90008,59483,Assigned,
91340,39090,Assigned,
91335,65039,Assigned,
91373,63249,Assigned,
91507,39090,Assigned,
10734,10837,Assigned,
10837,40806,Assigned,
40013,10837,Assigned,
43988,10837,Assigned,
66237,10837,Assigned,
66827,10837,Assigned,
75644,10837,Assigned,
36426,10879,Assigned,
91070,10837,Assigned,
25795,66592,Assigned,
66592,91379,Assigned,
21474,11009,Assigned,
62338,48273,Assigned,
68321,67881,Assigned,
68263,21474,Assigned,
69978,68263,Assigned,
74836,63022,Assigned,
74995,68263,Assigned,
75602,68263,Assigned,
74006,63022,Assigned,
76199,68263,Assigned,
67881,21474,Assigned,
80503,21474,Assigned,
77493,68263,Assigned,
91031,48273,Assigned,
91073,80503,Assigned,
91158,48273,Assigned,
91275,48273,Assigned,
91293,63022,Assigned,
91297,63022,Assigned,
91324,63022,Assigned,
91343,80503,Assigned,
47388,65403,Assigned,
47963,11009,Assigned,
62470,65403,Assigned,
65403,26692,Assigned,
66573,65403,Assigned,
67524,11009,Assigned,
70354,65403,Assigned,
77445,65403,Assigned,
77279,65403,Assigned,
77667,65403,Assigned,
44110,11009,Assigned,
54277,44110,Assigned,
56680,44110,Assigned,
62978,44110,Assigned,
65348,44110,Assigned,
77817,44110,Assigned,
90078,44110,Assigned,
91066,44110,Assigned,
91088,44110,Assigned,
91160,44110,Assigned,
91236,91144,Pending,Lider no existe en SQL o fue bloqueado
39930,70865,Assigned,
48273,21474,Assigned,
62980,70865,Assigned,
65899,62980,Assigned,
69976,62980,Assigned,
70865,11009,Assigned,
73314,10890,Assigned,
74991,39930,Assigned,
74998,62980,Assigned,
75810,62980,Assigned,
76705,62980,Assigned,
77081,10890,Assigned,
90982,62980,Assigned,
91000,10890,Assigned,
91068,62980,Assigned,
91134,39930,Assigned,
91156,10890,Assigned,
91164,62980,Assigned,
91319,39930,Assigned,
91342,70865,Assigned,
91362,10890,Assigned,
35402,10879,Assigned,
77270,39090,Assigned,
63249,76827,Assigned,
64430,65039,Assigned,
91257,63249,Assigned,
78676,91144,Pending,Lider no existe en SQL o fue bloqueado
61488,26692,Assigned,
77815,61488,Assigned,
90879,61488,Assigned,
33806,22291,Assigned,
23969,22291,Assigned,
50064,22291,Assigned,
56094,22291,Assigned,
67945,22291,Assigned,
74011,67881,Assigned,
77073,22291,Assigned,
90818,22291,Assigned,
91163,22291,Assigned,
91191,22291,Assigned,
39917,26692,Assigned,
70941,39917,Assigned,
91161,39917,Assigned,
91284,39917,Assigned,
39689,40894,Assigned,
72713,39689,Assigned,
15678,59483,Assigned,
56303,76827,Assigned,
59483,39090,Assigned,
62907,59483,Assigned,
69834,59483,Assigned,
70232,59483,Assigned,
77629,39090,Assigned,
25978,59483,Assigned,
91272,39090,Assigned,
91471,76827,Assigned,
91305,77524,Assigned,
36906,40894,Assigned,
90899,91379,Assigned,
91026,40894,Assigned,
23771,91044,Assigned,
39244,91044,Assigned,
70198,41169,Assigned,
65903,48313,Assigned,
75606,48313,Assigned,
91673,70865,Assigned,
91674,70865,Assigned,
91675,70865,Assigned,
91679,70865,Assigned,
91681,70865,Assigned,
91672,10879,Assigned,
45320,91379,Assigned,
52095,91379,Assigned,
72278,36906,Assigned,
75109,45320,Assigned,
63905,91296,Assigned,
91282,45320,Assigned,
37661,66592,Assigned,
91292,36906,Assigned,
91380,91379,Assigned,
80290,10879,Assigned,
10928,10879,Assigned,
10879,11009,Assigned,
11009,40894,Assigned,
16426,10879,Assigned,
22291,11009,Assigned,
28136,10879,Assigned,
26151,10879,Assigned,
15642,10879,Assigned,
26692,11009,Assigned,
32850,22291,Assigned,
37633,10879,Assigned,
35600,10879,Assigned,
44118,10879,Assigned,
47488,22291,Assigned,
47660,70865,Assigned,
49133,10879,Assigned,
54377,16426,Assigned,
57908,10879,Assigned,
64611,10879,Assigned,
73496,10879,Assigned,
76998,10879,Assigned,
47501,10879,Assigned,
70363,10879,Assigned,
71780,10879,Assigned,
91081,10879,Assigned,
91150,10879,Assigned,
91363,16426,Assigned,
39259,40894,Assigned,
91406,26692,Assigned,
46944,41169,Assigned,
90898,91044,Assigned,
91044,40894,Assigned,
91287,91044,Assigned,
91339,91044,Assigned,
91395,91044,Assigned,
91402,22291,Assigned,
91407,22291,Assigned,
91677,22291,Assigned,
91678,22291,Assigned,
91383,39917,Assigned,
91408,26692,Assigned,
91676,26692,Assigned,
33885,39689,Assigned,
48313,40894,Assigned,
47260,48313,Assigned,
52707,48313,Assigned,
53225,48313,Assigned,
61021,48313,Assigned,
66434,48313,Assigned,
66760,48313,Assigned,
75607,48313,Assigned,
91060,48313,Assigned,
91557,64099,Assigned,
91567,64099,Assigned,
91392,74380,Assigned,
73543,34321,Assigned,
77672,74380,Assigned,
74739,41481,Assigned,
91226,41481,Assigned,
91702,91255,Assigned,
91685,91255,Assigned,
91364,41481,Assigned,
60142,34321,Assigned,
33445,64099,Assigned,
78650,64099,Assigned,
91169,64099,Assigned,
22703,64099,Assigned,
77306,64099,Assigned,
91241,64099,Assigned,
78424,64099,Assigned,
66457,77524,Assigned,
91168,64099,Assigned,
64883,64099,Assigned,
79777,64099,Assigned,
15761,66592,Assigned,
49328,41481,Assigned,
70942,74380,Assigned,
79919,91255,Assigned,
79917,41481,Assigned,
90918,41481,Assigned,
64099,34321,Assigned,
67193,76827,Assigned,
65823,91255,Assigned,
49659,91255,Assigned,
90998,48313,Assigned,
62382,41481,Assigned,
90993,41481,Assigned,
76968,91255,Assigned,
90958,77524,Assigned,
91358,41481,Assigned,
70248,41481,Assigned,
34321,40894,Assigned,
74637,41481,Assigned,
66719,41481,Assigned,
68045,91255,Assigned,
91222,41481,Assigned,
49123,34321,Assigned,
90959,34321,Assigned,
91664,41481,Assigned,
91404,74380,Assigned,
53786,77673,Assigned,
78636,64099,Assigned,
90992,41481,Assigned,
91270,67193,Assigned,
57979,41481,Assigned,
26365,41481,Assigned,
91403,64099,Assigned,
73974,36906,Assigned,
91391,77524,Assigned,
77567,41481,Assigned,
91255,34321,Assigned,
41481,34321,Assigned,
90995,64099,Assigned,
74380,34321,Assigned,
77673,34321,Assigned,
69204,41481,Assigned,
78474,41481,Assigned,
74381,64099,Assigned,
38627,33885,Assigned,
39390,33885,Assigned,
36743,38630,Assigned,
38822,38630,Assigned,
38630,38413,Assigned,
39866,38413,Assigned,
38413,40894,Assigned,
49160,38630,Assigned,
53785,38630,Assigned,
38551,38413,Assigned,
60374,38630,Assigned,
63680,38630,Assigned,
63020,38630,Assigned,
63890,38630,Assigned,
73739,38630,Assigned,
73970,38630,Assigned,
74649,38630,Assigned,
77113,38630,Assigned,
78407,33885,Assigned,
78441,38630,Assigned,
79236,38630,Assigned,
90007,38630,Assigned,
38139,38630,Assigned,
91071,33885,Assigned,
91266,38630,Assigned,
91327,38630,Assigned,
91301,77371,Assigned,
77371,40894,Assigned,
90935,77371,Assigned,
74600,77371,Assigned,
78664,77371,Assigned,
91296,91379,Assigned,
91444,77371,Assigned,
91698,91467,Assigned,
91701,91467,Assigned,
